tagname	cur_value	time	gw
A0100-AI-472	14491.9394456936	2026-01-13 01:07:00.213	1
A0330-PI-2211	37494.8027771149	2026-01-13 01:07:00.213	1
A0330-PI-8510	99783.4655131058	2026-01-13 01:07:00.213	1
A0330-PI-8610	92433.7510810557	2026-01-13 01:07:00.213	1
A0330-PI-8910	25304.8825640058	2026-01-13 01:07:00.213	1
A0402-PI-5813	63543.7655507448	2026-01-13 01:07:00.213	1
A0402-PI-5819	65713.2975545024	2026-01-13 01:07:00.213	1
A0402-PI-5922	1315.09063620047	2026-01-13 01:07:00.213	1
A0402-PI-5928	44932.6842812923	2026-01-13 01:07:00.213	1
A0402-PI-6808	13036.458683237	2026-01-13 01:07:00.213	1
A0402-PI-6815	19120.1701791683	2026-01-13 01:07:00.213	1
A0402-PI-7302	95596.6449912939	2026-01-13 01:07:00.213	1
A0402-PI-7310	69982.6469705264	2026-01-13 01:07:00.213	1
A0403-PI-1208	13533.3659612651	2026-01-13 01:07:00.213	1
A0440-PI-1917	23407.0036853598	2026-01-13 01:07:00.213	1
A0440-PI-1918	46390.4080610078	2026-01-13 01:07:00.213	1
A0440-PI-2508	69319.4902980148	2026-01-13 01:07:00.213	1
A0440-PI-2609	90111.5217125642	2026-01-13 01:07:00.213	1
A0440-PI-2810	32926.9456432495	2026-01-13 01:07:00.213	1
A0465-PI-0710	81153.1494161311	2026-01-13 01:07:00.213	1
A0465-PI-0810	42569.691330398	2026-01-13 01:07:00.213	1
A0505-PI-0616	61718.1293690444	2026-01-13 01:07:00.213	1
A0505-PI-0617	68241.6930235213	2026-01-13 01:07:00.213	1
A0631-PI-1110	93000.0203820656	2026-01-13 01:07:00.213	1
A0633-PI-0319	13575.0516137365	2026-01-13 01:07:00.213	1
A0633-PI-0402	10316.296336349	2026-01-13 01:07:00.213	1
A0633-PI-0409	26011.6983963298	2026-01-13 01:07:00.213	1
A0636-PR-0708	14961.1225599086	2026-01-13 01:07:00.213	1
A0660-PR-031	87078.6681179516	2026-01-13 01:07:00.213	1
A0660-PR-032	51623.6999650503	2026-01-13 01:07:00.213	1
A0673-PI-2108	45599.7257339456	2026-01-13 01:07:00.213	1
A0692-PI-0102	1281.59158925584	2026-01-13 01:07:00.213	1
A0692-PI-0107	87635.5480812726	2026-01-13 01:07:00.213	1
A0692-PI-0208	6132.37221462591	2026-01-13 01:07:00.213	1
A0692-PI-0308	1697.66579159011	2026-01-13 01:07:00.213	1
A0697-PI-0208	80274.792464412	2026-01-13 01:07:00.213	1
A0697-PI-0308	41395.5117157021	2026-01-13 01:07:00.213	1
A0697-PI-304	7247.62867999851	2026-01-13 01:07:00.213	1
A0697-PI-313A	5352.2321800905	2026-01-13 01:07:00.213	1
A0697-PI-313B	80305.6479025091	2026-01-13 01:07:00.213	1
A1020-PR-007	42144.5772674528	2026-01-13 01:07:00.213	1
A140-PI-1380	35549.6402739882	2026-01-13 01:07:00.213	1
A140-TI-1380	93611.5757299013	2026-01-13 01:07:00.213	1
A150-FQI-CRNT	73967.8847054792	2026-01-13 01:07:00.213	1
A150-PI-1380	27909.7463741992	2026-01-13 01:07:00.213	1
A150-TI-1380	33462.3785279872	2026-01-13 01:07:00.213	1
A192-FQI-CRNT	15566.425489301	2026-01-13 01:07:00.213	1
A192-PT-9361	26064.6672081969	2026-01-13 01:07:00.213	1
A192-PT-9361BEN	98260.8787411252	2026-01-13 01:07:00.213	1
A192-TT-9360BEN	13472.425829054	2026-01-13 01:07:00.213	1
A200-PR-007B	18452.5432332754	2026-01-13 01:07:00.213	1
A200-PT-006	79688.0521295562	2026-01-13 01:07:00.213	1
A200-PT-007	87712.5074597592	2026-01-13 01:07:00.213	1
A2002-AC-0110	72950.6032473238	2026-01-13 01:07:00.213	1
A202-PR-4120	41497.7738740278	2026-01-13 01:07:00.213	1
A270-FI-3811	96354.8142197175	2026-01-13 01:07:00.213	1
A270-FWA-CO2	31001.8826854347	2026-01-13 01:07:00.213	1
A270-FWA-SAT	87447.3319663214	2026-01-13 01:07:00.213	1
A270-PT-3820	61670.6661153549	2026-01-13 01:07:00.213	1
A270-TT-3820	7652.82752002925	2026-01-13 01:07:00.213	1
A270-XI-3812B	38901.3406485332	2026-01-13 01:07:00.213	1
A300-GC-H2O	83756.1763038703	2026-01-13 01:07:00.213	1
A300-PR-001B	18005.0659086854	2026-01-13 01:07:00.213	1
A3000-GC-H2O	39327.4225033555	2026-01-13 01:07:00.213	1
A3000-PI-169	35054.4631815843	2026-01-13 01:07:00.213	1
A3000-PI-215	85719.0536949413	2026-01-13 01:07:00.213	1
A3000-PIC-105	53181.4139848933	2026-01-13 01:07:00.213	1
A310-FQI-001	76236.8696969084	2026-01-13 01:07:00.213	1
A310-PI-003	26863.2127806808	2026-01-13 01:07:00.213	1
A310-PI-004	78207.1173791326	2026-01-13 01:07:00.213	1
A330-FQR-066	36261.9713142929	2026-01-13 01:07:00.213	1
A330-FR-021	5638.80597947854	2026-01-13 01:07:00.213	1
A330-FR-023	16847.0246913461	2026-01-13 01:07:00.213	1
A330-FR-028	89375.059470553	2026-01-13 01:07:00.213	1
A330-FR-030	21350.8005403709	2026-01-13 01:07:00.213	1
A330-FR-053	913.426749624464	2026-01-13 01:07:00.213	1
A330-FR-201	71208.8637037984	2026-01-13 01:07:00.213	1
A330-FR-202	92631.8553648359	2026-01-13 01:07:00.213	1
A330-H2O-001	96922.8158312833	2026-01-13 01:07:00.213	1
A330-PR-007	5564.75017841973	2026-01-13 01:07:00.213	1
A330-PR-009	60470.2778713728	2026-01-13 01:07:00.213	1
A330-PR-013	23808.2633336562	2026-01-13 01:07:00.213	1
A330-PR-018	44625.2659533408	2026-01-13 01:07:00.213	1
A3305-PR-6305	85955.8122841117	2026-01-13 01:07:00.213	1
A340-AT-001	41933.2235702988	2026-01-13 01:07:00.213	2
A340-PI-007	30291.7960747304	2026-01-13 01:07:00.213	1
A400-PI-004A	63284.5930666893	2026-01-13 01:07:00.213	1
A400-PI-004B	40761.6144413234	2026-01-13 01:07:00.213	1
A4000-BTU-001	69316.0506261602	2026-01-13 01:07:00.213	1
A4000-CR-FWA1	20536.0089501325	2026-01-13 01:07:00.213	1
A4000-CR-FWA2	15460.7285934983	2026-01-13 01:07:00.213	1
A4000-CR-FWA3	85954.9085252919	2026-01-13 01:07:00.213	1
A4000-CR-FWA4	29842.3836087091	2026-01-13 01:07:00.213	1
A4000-FR-CRNT	74369.91232625	2026-01-13 01:07:00.213	1
A4000-GC-C1	73869.0677430603	2026-01-13 01:07:00.213	1
A4000-GC-C2	54948.9029952644	2026-01-13 01:07:00.213	1
A4000-GC-C3	12258.6382648038	2026-01-13 01:07:00.213	1
A4000-GC-C6	45632.1939625235	2026-01-13 01:07:00.213	1
A4000-GC-CO2	92871.8792667728	2026-01-13 01:07:00.213	1
A4000-GC-DHV	956.279506565797	2026-01-13 01:07:00.213	1
A4000-GC-HV1	962.866484165709	2026-01-13 01:07:00.213	1
A4000-GC-IC4	9222.27840006976	2026-01-13 01:07:00.213	1
A4000-GC-IC5	17410.3849609469	2026-01-13 01:07:00.213	1
A4000-GC-N2	62568.1639708201	2026-01-13 01:07:00.213	1
A4000-GC-NC4	61083.3725973939	2026-01-13 01:07:00.213	1
A4000-GC-NC5	72111.9846576554	2026-01-13 01:07:00.213	1
A4000-GC-SGR1	35011.0659960913	2026-01-13 01:07:00.213	1
A4000-GC-WB1	58625.5398825059	2026-01-13 01:07:00.213	1
A4000-PI-4101	79220.0142010336	2026-01-13 01:07:00.213	1
A4000-PI-4401	81137.760801635	2026-01-13 01:07:00.213	1
A4000-PR-001	50055.5676366991	2026-01-13 01:07:00.213	1
A4000-PR-002	68123.9824239906	2026-01-13 01:07:00.213	1
A4000-PT-3100	32462.0670330447	2026-01-13 01:07:00.213	1
A4000-PT-3601	6943.3452686287	2026-01-13 01:07:00.213	1
A4000-TI-4401	9299.43349987749	2026-01-13 01:07:00.213	1
A4000-TT-3601	83040.1912965566	2026-01-13 01:07:00.213	2
A400F060C	80850.8234839125	2026-01-13 01:07:00.213	1
A400F1-6C	78651.4534531289	2026-01-13 01:07:00.213	1
A400PI001	20109.3434800404	2026-01-13 01:07:00.213	1
A400PI063A	99792.6194175811	2026-01-13 01:07:00.213	1
A400PIC012	41785.7949553131	2026-01-13 01:07:00.213	1
A400RUN123C	40911.1031803248	2026-01-13 01:07:00.213	1
A400TI060A	19774.576733901	2026-01-13 01:07:00.213	1
A400TI060B	72758.7620212208	2026-01-13 01:07:00.213	1
A400TI060C	52290.3207270491	2026-01-13 01:07:00.213	1
A401-FR-001	44589.1547127581	2026-01-13 01:07:00.213	1
A401-PR-005	10649.0771280354	2026-01-13 01:07:00.213	1
A4012-FR-001IMP	26200.9646476847	2026-01-13 01:07:00.213	1
A4012-PR-002	42532.684109658	2026-01-13 01:07:00.213	1
A4012-PR-003	44381.4849031494	2026-01-13 01:07:00.213	1
A402-PR-064	114.241969579674	2026-01-13 01:07:00.213	1
A402-PR-070	58240.1309052871	2026-01-13 01:07:00.213	1
A402-PT-004	10608.7959647188	2026-01-13 01:07:00.213	1
A402-PT-025	89768.4835183556	2026-01-13 01:07:00.213	1
A402-PT-026	60533.0557682575	2026-01-13 01:07:00.213	1
A403-PR-001	53304.3285635839	2026-01-13 01:07:00.213	1
A403-PR-003A	680.746701235038	2026-01-13 01:07:00.213	1
A403-PR-003B	52265.6052415564	2026-01-13 01:07:00.213	1
A403-PR-011	83947.7008388807	2026-01-13 01:07:00.213	1
A403-PR-014	52383.1731626916	2026-01-13 01:07:00.213	1
A403-PR-018	22428.0337673017	2026-01-13 01:07:00.213	1
A4100-FQI-012	70769.7548295953	2026-01-13 01:07:00.213	1
A4100-HV-003	961.040530170422	2026-01-13 01:07:00.213	2
A4101-PI-0809	19166.046178664	2026-01-13 01:07:00.213	1
A4101-PI-0912	96517.8944456058	2026-01-13 01:07:00.213	1
A4101-PI-0915A	15910.1215499997	2026-01-13 01:07:00.213	1
A4103-PI-0323	68752.0303023362	2026-01-13 01:07:00.213	1
A4103-PI-0325	1568.9473690382	2026-01-13 01:07:00.213	1
A4103-PI-0423	67546.45352484	2026-01-13 01:07:00.213	1
A430-PT-001	49232.9245864097	2026-01-13 01:07:00.213	1
A430-PT-002	72962.2354403145	2026-01-13 01:07:00.213	1
A440-FR-001	73367.8875740652	2026-01-13 01:07:00.213	1
A440-FR-005	72345.815983827	2026-01-13 01:07:00.213	1
A440-FR-006	26440.6817945215	2026-01-13 01:07:00.213	1
A440-PI-048	16976.4525220482	2026-01-13 01:07:00.213	1
A440-PR-007	69366.9725487481	2026-01-13 01:07:00.213	1
A440-PR-009	5030.47312155927	2026-01-13 01:07:00.213	1
A440-PR-011	59561.9501239972	2026-01-13 01:07:00.213	1
A440-PR-016	24971.2086827185	2026-01-13 01:07:00.213	1
A440-PR-045	89271.6533375786	2026-01-13 01:07:00.213	1
A445-PR-001	59883.7980741187	2026-01-13 01:07:00.213	1
A445-PR-002	76332.5121072083	2026-01-13 01:07:00.213	1
A4450-TI-745A	71651.7636569076	2026-01-13 01:07:00.213	1
A4450-TI-745B	50417.7842853503	2026-01-13 01:07:00.213	1
A4457-PR-001	32823.2717727687	2026-01-13 01:07:00.213	1
A4457-PR-002	62943.3583020894	2026-01-13 01:07:00.213	1
A4457-PR-003	78296.7962814906	2026-01-13 01:07:00.213	1
A4457-PR-004	66463.35096996	2026-01-13 01:07:00.213	1
A4458-CALF-WI	77613.566326778	2026-01-13 01:07:00.213	1
A4458-FI-201	47445.6519784643	2026-01-13 01:07:00.213	1
A4458-FI-501	29723.9002603964	2026-01-13 01:07:00.213	1
A4458-FLOW-TT	80597.1721126484	2026-01-13 01:07:00.213	1
A4458-GHS-701E	90625.668476494	2026-01-13 01:07:00.213	1
A4458-GHS-701M	10011.352763874	2026-01-13 01:07:00.213	1
A4458-GHS-701W	84078.6448742806	2026-01-13 01:07:00.213	1
A4458-PI-001	35064.744583467	2026-01-13 01:07:00.213	1
A4458-PI-007	12879.3687106172	2026-01-13 01:07:00.213	1
A4458-PI-702	32269.9286367132	2026-01-13 01:07:00.213	1
A4458-WI-701E	52283.488319195	2026-01-13 01:07:00.213	1
A4458-WI-701M	91623.0074696434	2026-01-13 01:07:00.213	1
A4458-WI-701W	61211.0496559972	2026-01-13 01:07:00.213	1
A4470-PI-406	92724.7449133629	2026-01-13 01:07:00.213	1
A4471-PI-0208	90848.7707212361	2026-01-13 01:07:00.213	1
A4472-PI-0114	71989.3656922186	2026-01-13 01:07:00.213	1
A4472-PI-0208	96130.0734305217	2026-01-13 01:07:00.213	1
A4473-PI-0109	23464.7358169295	2026-01-13 01:07:00.213	1
A465-FR-001	27351.4073367012	2026-01-13 01:07:00.213	1
A465-PR-003	30076.8896186815	2026-01-13 01:07:00.213	1
A465-PR-004	90039.2393778646	2026-01-13 01:07:00.213	1
A4901-PI-0112	1345.55386972587	2026-01-13 01:07:00.213	1
A4904-PI-0110	38943.7611480656	2026-01-13 01:07:00.213	1
A4904-PI-0208	40170.520290144	2026-01-13 01:07:00.213	1
A4904-PI-0308	45674.8536156225	2026-01-13 01:07:00.213	1
A4904-PI-0408	52705.3030676528	2026-01-13 01:07:00.213	1
